number,expiry_date
4024007157708222,04/21
4532172595629334,02/22
4716453549522694,13/25
4704999116075486,25/25
4929663233019624,15/22
4024007191511533,14/25
4532417595488953,28/21
4556193370806286,28/23
4716755206517738,26/25
4468772647782623,18/23
4716476788430618,12/21
4556315778005936,06/21
4929523953297653,16/24
4549757924531671,27/22
4539709080576166,24/24
4024007145066741,04/21
4024007144234563,20/23
4556746806782445,24/23
4539856070177305,05/23
5476117122458843,20/25
5413850131355628,20/21
5434196775747562,11/23
5114289529797541,08/25
5475964062127107,05/23
5575996141162753,19/21
5330610007934306,04/24
5558232902944978,22/25
5392344202397573,04/21
5267176139822162,04/21
5324303586694644,04/20
5404644909294346,03/25
5115630772796061,28/23
5423924643670374,09/25
